B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y
1761.0,0.69211204,2449.18,0.622839412,2414.52,0.632272822,4240.0,0.485603581,6018.0,0.379188037
1781.0,0.689619189,2476.98,0.619940985,2441.88,0.629358662,4288.0,0.482081695,6086.0,0.375475973
1801.0,0.687140182,2504.7799999999997,0.617061796,2469.24,0.626462505,4336.0,0.478592796,6154.0,0.371807904
1821.0,0.68467635,2532.58,0.614201995,2496.6,0.623584977,4384.0,0.475136107,6222.0,0.368182898
1841.0,0.682227274,2560.3799999999997,0.61136043,2523.96,0.620726257,4432.0,0.471711308,6290.0,0.364599806
1861.0,0.67979185,2588.18,0.608536789,2551.32,0.617886832,4480.0,0.468318073,6358.0,0.36105744
1881.0,0.677371371,2615.98,0.605732231,2578.68,0.615066011,4528.0,0.464955361,6426.0,0.357555013
1901.0,0.674962793,2643.7799999999997,0.602945543,2606.04,0.612263423,4576.0,0.461622263,6494.0,0.354092139
1921.0,0.672565745,2671.58,0.600175975,2633.4,0.609479306,4624.0,0.458318576,6562.0,0.350669108
1941.0,0.670180233,2699.3799999999997,0.597423467,2660.7599999999998,0.606713227,4672.0,0.455044636,6630.0,0.347285733
1961.0,0.667807181,2727.18,0.594689243,2688.12,0.603964648,4720.0,0.451800115,6698.0,0.343941263
1981.0,0.665447594,2754.98,0.59197356,2715.48,0.6012332,4768.0,0.448584027,6766.0,0.34063446
2001.0,0.663099676,2782.7799999999997,0.589275735,2742.84,0.598519248,4816.0,0.445395729,6834.0,0.337364899
2021.0,0.660764276,2810.58,0.586594116,2770.2,0.595823075,4864.0,0.442234679,6902.0,0.334132478
2041.0,0.658441366,2838.3799999999997,0.583929215,2797.56,0.593144802,4912.0,0.439101442,6970.0,0.330936379
2061.0,0.65613146,2866.18,0.581281254,2824.92,0.590484219,4960.0,0.435995548,7038.0,0.327775542
2081.0,0.653834199,2893.98,0.578649167,2852.2799999999997,0.587840797,5008.0,0.432916986,7106.0,0.324649529
2101.0,0.651549332,2921.7799999999997,0.576034545,2879.64,0.58521453,5056.0,0.429865329,7174.0,0.321558231
