B5_x,B5_y,B4_x,B4_y,B3_x,B3_y,B2_x,B2_y,B1_x,B1_y
2.018e-06,2.37e-07,1.172e-06,1.12e-07,2.588e-06,1.25e-07,6.246e-06,0.0,1.3671e-05,6.79e-07
2.076e-06,0.0,1.208e-06,0.0,2.669e-06,0.0,6.442e-06,0.0,1.4109e-05,2.26e-07
2.136e-06,0.0,1.245e-06,1.12e-07,2.752e-06,1.25e-07,6.644e-06,6.36e-07,1.4561e-05,1.132e-06
2.198e-06,0.0,1.284e-06,1.12e-07,2.838e-06,1.25e-07,6.852e-06,1.59e-07,1.5028e-05,4.53e-07
2.261e-06,0.0,1.323e-06,1.12e-07,2.927e-06,1.25e-07,7.066e-06,1.59e-07,1.551e-05,6.79e-07
2.326e-06,0.0,1.364e-06,1.12e-07,3.019e-06,1.25e-07,7.288e-06,6.36e-07,1.6007e-05,4.53e-07
2.393e-06,1.19e-07,1.406e-06,0.0,3.113e-06,1.25e-07,7.516e-06,4.77e-07,1.652e-05,1.585e-06
2.462e-06,1.19e-07,1.449e-06,1.12e-07,3.211e-06,0.0,7.752e-06,7.95e-07,1.7049e-05,2.26e-07
2.533e-06,1.19e-07,1.494e-06,1.12e-07,3.311e-06,2.51e-07,7.995e-06,3.18e-07,1.7595e-05,1.132e-06
2.606e-06,0.0,1.54e-06,0.0,3.415e-06,1.25e-07,8.245e-06,4.77e-07,1.8159e-05,4.53e-07
2.682e-06,2.37e-07,1.588e-06,1.12e-07,3.521e-06,1.25e-07,8.504e-06,0.0,1.8741e-05,1.132e-06
2.759e-06,0.0,1.637e-06,1.12e-07,3.632e-06,2.51e-07,8.77e-06,0.0,1.9342e-05,4.53e-07
2.839e-06,0.0,1.687e-06,0.0,3.745e-06,0.0,9.045e-06,6.36e-07,1.9962e-05,9.06e-07
2.92e-06,1.19e-07,1.739e-06,1.12e-07,3.862e-06,1.25e-07,9.328e-06,4.77e-07,2.0602e-05,6.79e-07
3.005e-06,0.0,1.793e-06,1.12e-07,3.983e-06,1.25e-07,9.621e-06,6.36e-07,2.1262e-05,1.132e-06
3.091e-06,2.37e-07,1.848e-06,0.0,4.108e-06,0.0,9.922e-06,9.54e-07,2.1943e-05,9.06e-07
3.181e-06,2.37e-07,1.905e-06,1.12e-07,4.236e-06,0.0,1.0233e-05,4.77e-07,2.2646e-05,1.132e-06
3.272e-06,0.0,1.964e-06,0.0,4.369e-06,0.0,1.0554e-05,6.36e-07,2.3372e-05,1.811e-06
3.367e-06,1.19e-07,2.025e-06,0.0,4.506e-06,2.51e-07,1.0884e-05,4.77e-07,2.4121e-05,6.79e-07
3.464e-06,0.0,2.087e-06,3.36e-07,4.647e-06,2.51e-07,1.1225e-05,6.36e-07,2.4894e-05,1.132e-06
3.564e-06,0.0,2.152e-06,0.0,4.792e-06,0.0,1.1577e-05,7.95e-07,2.5692e-05,9.06e-07
3.666e-06,1.19e-07,2.218e-06,2.24e-07,4.942e-06,3.76e-07,1.194e-05,7.95e-07,2.6516e-05,9.06e-07
3.772e-06,0.0,2.287e-06,3.36e-07,5.097e-06,6.27e-07,1.2314e-05,9.54e-07,2.7365e-05,9.06e-07
3.881e-06,0.0,2.357e-06,1.12e-07,5.256e-06,2.51e-07,1.27e-05,9.54e-07,2.8242e-05,4.53e-07
3.993e-06,5.93e-07,2.43e-06,0.0,5.421e-06,2.51e-07,1.3098e-05,4.77e-07,2.9147e-05,1.585e-06
4.108e-06,0.0,2.505e-06,3.36e-07,5.59e-06,6.27e-07,1.3508e-05,4.77e-07,3.0082e-05,9.06e-07
4.227e-06,1.19e-07,2.582e-06,1.12e-07,5.765e-06,1.25e-07,1.3932e-05,4.77e-07,3.1046e-05,1.811e-06
4.349e-06,3.56e-07,2.662e-06,1.12e-07,5.945e-06,0.0,1.4368e-05,3.18e-07,3.2041e-05,1.132e-06
4.474e-06,2.37e-07,2.744e-06,2.24e-07,6.131e-06,3.76e-07,1.4818e-05,7.95e-07,3.3067e-05,1.359e-06
4.603e-06,0.0,2.829e-06,0.0,6.323e-06,2.51e-07,1.5283e-05,4.77e-07,3.4127e-05,1.585e-06
4.736e-06,1.19e-07,2.916e-06,0.0,6.521e-06,1.25e-07,1.5762e-05,6.36e-07,3.5221e-05,1.585e-06
4.872e-06,0.0,3.006e-06,2.24e-07,6.725e-06,2.51e-07,1.6255e-05,9.54e-07,3.635e-05,2.264e-06
5.013e-06,1.19e-07,3.099e-06,2.24e-07,6.936e-06,3.76e-07,1.6765e-05,7.95e-07,3.7515e-05,2.491e-06
5.158e-06,1.19e-07,3.194e-06,2.24e-07,7.153e-06,2.51e-07,1.729e-05,6.36e-07,3.8717e-05,1.132e-06
5.306e-06,0.0,3.293e-06,2.24e-07,7.376e-06,2.51e-07,1.7832e-05,1.272e-06,3.9958e-05,9.06e-07
5.459e-06,3.56e-07,3.395e-06,1.12e-07,7.607e-06,1.25e-07,1.8391e-05,3.18e-07,4.1238e-05,1.359e-06
5.617e-06,1.19e-07,3.499e-06,1.12e-07,7.845e-06,5.01e-07,1.8967e-05,3.18e-07,4.256e-05,1.585e-06
5.779e-06,2.37e-07,3.607e-06,0.0,8.091e-06,5.01e-07,1.9561e-05,6.36e-07,4.3924e-05,2.491e-06
5.946e-06,5.93e-07,3.719e-06,1.12e-07,8.344e-06,3.76e-07,2.0174e-05,4.77e-07,4.5331e-05,1.585e-06
6.117e-06,0.0,3.834e-06,2.24e-07,8.605e-06,6.27e-07,2.0807e-05,1.431e-06,4.6784e-05,1.811e-06
6.294e-06,5.93e-07,3.952e-06,2.24e-07,8.874e-06,2.51e-07,2.1459e-05,4.77e-07,4.8284e-05,1.585e-06
6.475e-06,3.56e-07,4.074e-06,2.24e-07,9.152e-06,5.01e-07,2.2131e-05,3.18e-07,4.9831e-05,1.132e-06
6.662e-06,0.0,4.2e-06,3.36e-07,9.438e-06,3.76e-07,2.2824e-05,9.54e-07,5.1428e-05,1.132e-06
6.854e-06,1.19e-07,4.329e-06,2.24e-07,9.733e-06,2.51e-07,2.354e-05,4.77e-07,5.3076e-05,1.359e-06
7.052e-06,1.19e-07,4.463e-06,4.49e-07,1.0038e-05,5.01e-07,2.4277e-05,9.54e-07,5.4777e-05,2.717e-06
7.255e-06,3.56e-07,4.6e-06,2.24e-07,1.0352e-05,6.27e-07,2.5038e-05,1.272e-06,5.6533e-05,2.264e-06
7.464e-06,1.19e-07,4.742e-06,4.49e-07,1.0676e-05,6.27e-07,2.5823e-05,1.272e-06,5.8345e-05,2.717e-06
7.68e-06,3.56e-07,4.889e-06,3.36e-07,1.101e-05,1.003e-06,2.6632e-05,1.113e-06,6.0214e-05,2.264e-06
7.901e-06,2.37e-07,5.04e-06,2.24e-07,1.1354e-05,2.51e-07,2.7466e-05,6.36e-07,6.2144e-05,1.811e-06
8.129e-06,1.19e-07,5.195e-06,2.24e-07,1.171e-05,3.76e-07,2.8327e-05,6.36e-07,6.4136e-05,2.491e-06
8.364e-06,2.37e-07,5.355e-06,3.36e-07,1.2076e-05,7.52e-07,2.9215e-05,9.54e-07,6.6191e-05,2.717e-06
8.605e-06,2.37e-07,5.521e-06,1.12e-07,1.2454e-05,1.25e-07,3.013e-05,7.95e-07,6.8312e-05,2.264e-06
8.853e-06,2.37e-07,5.691e-06,2.24e-07,1.2843e-05,2.51e-07,3.1074e-05,6.36e-07,7.0502e-05,2.943e-06
9.109e-06,4.74e-07,5.867e-06,1.12e-07,1.3245e-05,3.76e-07,3.2048e-05,2.067e-06,7.2761e-05,3.623e-06
9.371e-06,7.12e-07,6.048e-06,2.24e-07,1.366e-05,6.27e-07,3.3052e-05,1.431e-06,7.5093e-05,3.17e-06
9.642e-06,2.37e-07,6.234e-06,1.12e-07,1.4087e-05,7.52e-07,3.4088e-05,1.272e-06,7.75e-05,2.264e-06
9.92e-06,2.37e-07,6.427e-06,5.61e-07,1.4528e-05,3.76e-07,3.5156e-05,1.113e-06,7.9983e-05,4.076e-06
1.0206e-05,2.37e-07,6.625e-06,3.36e-07,1.4982e-05,5.01e-07,3.6258e-05,1.749e-06,8.2547e-05,2.491e-06
1.05e-05,1.19e-07,6.83e-06,1.12e-07,1.5451e-05,0.0,3.7394e-05,9.54e-07,8.5192e-05,3.396e-06
1.0803e-05,3.56e-07,7.04e-06,4.49e-07,1.5935e-05,7.52e-07,3.8566e-05,2.226e-06,8.7922e-05,4.528e-06
1.1115e-05,8.3e-07,7.258e-06,2.24e-07,1.6433e-05,1.254e-06,3.9774e-05,2.385e-06,9.074e-05,4.076e-06
1.1435e-05,1.19e-07,7.482e-06,5.61e-07,1.6947e-05,1.003e-06,4.102e-05,1.431e-06,9.3648e-05,3.396e-06
1.1765e-05,3.56e-07,7.713e-06,6.73e-07,1.7478e-05,3.76e-07,4.2306e-05,4.77e-07,9.665e-05,2.943e-06
1.2105e-05,8.3e-07,7.951e-06,4.49e-07,1.8024e-05,1.003e-06,4.3631e-05,9.54e-07,9.9747e-05,4.076e-06
1.2454e-05,3.56e-07,8.196e-06,3.36e-07,1.8588e-05,1.128e-06,4.4999e-05,1.59e-06,0.000102944,4.981e-06
1.2813e-05,1.067e-06,8.449e-06,4.49e-07,1.917e-05,6.27e-07,4.6409e-05,2.067e-06,0.000106243,3.396e-06
1.3183e-05,9.49e-07,8.71e-06,5.61e-07,1.977e-05,6.27e-07,4.7863e-05,1.749e-06,0.000109648,3.623e-06
1.3563e-05,7.12e-07,8.978e-06,3.36e-07,2.0388e-05,1.128e-06,4.9363e-05,1.272e-06,0.000113162,4.076e-06
1.3954e-05,5.93e-07,9.256e-06,1.12e-07,2.1026e-05,8.78e-07,5.091e-05,2.226e-06,0.000116788,4.302e-06
1.4357e-05,5.93e-07,9.541e-06,5.61e-07,2.1684e-05,1.128e-06,5.2505e-05,2.703e-06,0.000120531,4.528e-06
1.4771e-05,5.93e-07,9.836e-06,2.24e-07,2.2362e-05,7.52e-07,5.415e-05,1.908e-06,0.000124394,4.302e-06
1.5197e-05,2.37e-07,1.0139e-05,3.36e-07,2.3062e-05,5.01e-07,5.5847e-05,2.226e-06,0.000128381,5.208e-06
1.5635e-05,4.74e-07,1.0452e-05,4.49e-07,2.3784e-05,8.78e-07,5.7597e-05,1.59e-06,0.000132495,6.566e-06
1.6086e-05,5.93e-07,1.0775e-05,6.73e-07,2.4528e-05,1.379e-06,5.9402e-05,2.703e-06,0.000136741,7.019e-06
1.655e-05,1.067e-06,1.1107e-05,6.73e-07,2.5295e-05,2.51e-07,6.1263e-05,2.067e-06,0.000141124,6.34e-06
1.7027e-05,7.12e-07,1.145e-05,8.97e-07,2.6087e-05,1.003e-06,6.3183e-05,2.226e-06,0.000145646,6.113e-06
1.7519e-05,3.56e-07,1.1803e-05,2.24e-07,2.6903e-05,1.63e-06,6.5163e-05,1.908e-06,0.000150314,7.698e-06
1.8024e-05,4.74e-07,1.2167e-05,5.61e-07,2.7745e-05,6.27e-07,6.7205e-05,3.021e-06,0.000155132,4.076e-06
1.8544e-05,4.74e-07,1.2543e-05,6.73e-07,2.8613e-05,1.128e-06,6.9311e-05,2.067e-06,0.000160103,4.302e-06
1.9079e-05,9.49e-07,1.293e-05,8.97e-07,2.9508e-05,1.504e-06,7.1483e-05,2.385e-06,0.000165234,9.736e-06
1.9629e-05,1.304e-06,1.3329e-05,6.73e-07,3.0431e-05,1.003e-06,7.3722e-05,3.021e-06,0.00017053,8.151e-06
2.0195e-05,1.186e-06,1.374e-05,6.73e-07,3.1383e-05,1.881e-06,7.6033e-05,3.339e-06,0.000175995,7.925e-06
2.0778e-05,1.067e-06,1.4164e-05,7.85e-07,3.2365e-05,1.003e-06,7.8415e-05,3.498e-06,0.000181635,6.34e-06
2.1377e-05,4.74e-07,1.4602e-05,3.36e-07,3.3378e-05,1.003e-06,8.0872e-05,3.498e-06,0.000187456,1.0415e-05
2.1994e-05,1.304e-06,1.5052e-05,1.234e-06,3.4422e-05,1.254e-06,8.3407e-05,2.544e-06,0.000193464,7.472e-06
2.2628e-05,1.067e-06,1.5517e-05,3.36e-07,3.5499e-05,1.254e-06,8.602e-05,3.18e-06,0.000199664,7.019e-06
