Time,Mean delay per firm
4781376.0,58.339614972
4781377.0,58.085731287
4781378.0,57.848701041
4781379.0,57.626443726
4781380.0,57.51890564
4781381.0,57.531462793
4781382.0,57.469730982
4781383.0,57.278627592
4781384.0,57.210731799
4781385.0,57.450040692
4781386.0,57.681273041
4781387.0,57.774780998
4781388.0,58.042505945
4781389.0,58.186252815
4781390.0,58.113272623
4781391.0,58.152492626
4781392.0,58.349662418
4781393.0,58.39024551
4781394.0,58.268780073
4781395.0,58.079440456
4781396.0,58.120843461
4781397.0,58.208716703
4781398.0,58.150436461
4781399.0,57.979555028
4781400.0,57.853330273
4781401.0,57.729979342
4781402.0,57.572010016
4781403.0,57.473400012
4781404.0,57.608878841
4781405.0,57.917235086
4781406.0,57.986823153
4781407.0,57.923597491
4781408.0,57.939752721
4781409.0,57.931881101
4781410.0,57.606559049
4781411.0,57.28079757
4781412.0,56.957954861
4781413.0,56.76411981
4781414.0,56.691812649
4781415.0,56.729338723
4781416.0,56.980944679
4781417.0,57.322241572
4781418.0,57.502861831
4781419.0,57.509938935
4781420.0,57.436307868
4781421.0,57.483116503
4781422.0,57.415196178
4781423.0,57.274571342
4781424.0,57.066155533
4781425.0,57.006517272
4781426.0,57.122705767
4781427.0,57.210866128
4781428.0,57.26398699
4781429.0,57.218136485
4781430.0,57.070272794
4781431.0,56.852780978
4781432.0,56.58524602
4781433.0,56.275374474
4781434.0,56.052970263
4781435.0,55.93390454
4781436.0,55.849850689
4781437.0,55.796184301
4781438.0,55.60336266
4781439.0,55.286436289
4781440.0,54.985596765
4781441.0,54.742520171
4781442.0,54.816653836
4781443.0,55.174776451
4781444.0,55.371036666
4781445.0,55.445990467
4781446.0,55.525083383
4781447.0,55.384602507
4781448.0,55.175956903
4781449.0,55.162925679
4781450.0,55.21047638
4781451.0,55.3600754
4781452.0,55.470775582
4781453.0,55.484015697
4781454.0,55.36112989
4781455.0,55.074539017
4781456.0,54.827404519
4781457.0,54.673295339
4781458.0,54.52539072
4781459.0,54.311043704
4781460.0,54.04235342
4781461.0,53.954680583
4781462.0,54.080648099
4781463.0,54.241187656
4781464.0,54.38122993
4781465.0,54.684550149
4781466.0,54.922885733
4781467.0,54.850034162
4781468.0,54.679098262
4781469.0,54.400076034
4781470.0,54.041540315
4781471.0,53.662272504
4781472.0,53.484244782
4781473.0,53.751868583
4781474.0,54.077687477
4781475.0,54.279732119
4781476.0,54.421971105
4781477.0,54.289372356
4781478.0,54.15530381
4781479.0,54.063301654
4781480.0,53.978669564
4781481.0,53.871328313
4781482.0,54.057296411
4781483.0,54.236643209
4781484.0,53.980947968
4781485.0,53.829186084
4781486.0,54.239214431
4781487.0,54.976262282
4781488.0,55.392719383
4781489.0,55.543453145
4781490.0,55.425435031
4781491.0,54.999028145
4781492.0,54.512971294
4781493.0,54.186572757
4781494.0,53.990758182
4781495.0,53.807873211
4781496.0,53.655433095
4781497.0,53.666874028
4781498.0,53.71127134
4781499.0,53.627205768
4781500.0,53.286839254
4781501.0,52.897361768
4781502.0,52.795873119
4781503.0,52.93176561
4781504.0,52.85055623
4781505.0,52.630133414
4781506.0,52.47837586
4781507.0,52.278408071
4781508.0,52.063614827
4781509.0,51.979751391
4781510.0,51.823265895
4781511.0,51.602245883
4781512.0,51.493047708
4781513.0,51.556486854
4781514.0,51.508854399
4781515.0,51.463671923
4781516.0,51.346905259
4781517.0,51.300813227
4781518.0,51.103565035
4781519.0,51.060725892
4781520.0,51.044702377
4781521.0,51.028253233
4781522.0,51.098867216
4781523.0,51.216309198
4781524.0,51.335473912
4781525.0,51.248007697
4781526.0,51.235132681
4781527.0,51.158527545
4781528.0,51.120341817
4781529.0,51.041934753
4781530.0,50.884995453
4781531.0,50.705686408
4781532.0,50.620302368
4781533.0,50.651732075
4781534.0,50.79108708
4781535.0,50.914510263
4781536.0,50.953520261
4781537.0,50.987863042
4781538.0,51.18052407
4781539.0,51.313748983
4781540.0,51.27379992
4781541.0,51.167508763
4781542.0,51.082480129
4781543.0,50.851608308
4781544.0,50.494035328
4781545.0,50.208184785
4781546.0,50.372380726
4781547.0,50.576294541
4781548.0,50.483769974
4781549.0,50.225067707
4781550.0,50.095779875
4781551.0,50.162987553
4781552.0,50.198660585
4781553.0,49.997599748
4781554.0,49.724018057
4781555.0,49.632532181
4781556.0,49.784295383
4781557.0,49.997156961
4781558.0,49.904744524
4781559.0,49.808881003
4781560.0,49.681282745
4781561.0,49.447544289
4781562.0,49.309861475
4781563.0,49.278701204
4781564.0,49.376965383
4781565.0,49.420427649
4781566.0,49.339883582
4781567.0,49.299280428
4781568.0,49.346115765
4781569.0,49.319971309
4781570.0,49.374944466
4781571.0,49.369350088
4781572.0,49.33576706
4781573.0,49.280315333
4781574.0,49.306209208
4781575.0,49.477734649
4781576.0,49.660668355
4781577.0,49.803578733
4781578.0,49.847872471
4781579.0,49.734048896
4781580.0,49.654476253
4781581.0,49.627606043
4781582.0,49.652943631
4781583.0,49.705446208
4781584.0,49.711565066
4781585.0,49.799707995
4781586.0,49.818458471
4781587.0,49.783586564
4781588.0,49.644231797
4781589.0,49.524519049
4781590.0,49.780944592
4781591.0,50.393546313
4781592.0,50.997226799
4781593.0,51.335381156
4781594.0,51.880903622
4781595.0,52.35268292
4781596.0,52.519907494
4781597.0,52.404174701
4781598.0,52.152045696
4781599.0,51.908646778
4781600.0,51.714857594
4781601.0,51.546165255
4781602.0,51.326108898
4781603.0,51.16324611
4781604.0,51.177664357
4781605.0,51.226845774
4781606.0,51.443228772
4781607.0,51.494673943
4781608.0,51.209166398
4781609.0,50.869076822
4781610.0,50.572305748
4781611.0,50.455120814
4781612.0,50.441797799
4781613.0,50.305341736
4781614.0,50.045958392
4781615.0,49.815859295
4781616.0,49.631548068
4781617.0,49.345848828
4781618.0,48.985932534
4781619.0,48.648167784
4781620.0,48.460035518
4781621.0,48.539842355
4781622.0,48.749243913
4781623.0,49.046909847
